date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:31	517784/517784	---M-Z	200	added ('OK')	font/opentype	etag:W/%229547ace8d42d46f6076e4edd5119f887824d4bf7%22	https://use.typekit.net/af/dd7c06/00000000000000007735a3af/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/dd7c06/00000000000000007735a3af/30/a00c0	(from https://use.typekit.net/njp4uhl.css)
15:39:31	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:39:30%20GMT	https://spotify-top-song.webnode.fr/a-propos/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/a-propos/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/a-propos/)
15:39:33	9621/9621	---M--	200	added ('OK')	image/jpeg	etag:%22d882e345033b6dd0474321449d7031ab%22	https://d1di2lzuh97fh2.cloudfront.net/files/35/35q/200/35qu0f.jpg?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/35/35q/200/35qu0f1bf5.jpg	(from https://spotify-top-song.webnode.fr/a-propos/)
15:39:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:39:33%20GMT	https://spotify-top-song.webnode.fr/contact/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/contact/wnd_header.set	(from https://spotify-top-song.webnode.fr/contact/)
15:39:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:39:35%20GMT	https://spotify-top-song.webnode.fr/rap-us/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/rap-us/wnd_header.91.delayed	(from https://spotify-top-song.webnode.fr/rap-us/)
15:39:45	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:39:34%20GMT	https://spotify-top-song.webnode.fr/contact/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/contact/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/contact/)
15:39:46	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:39:35%20GMT	https://spotify-top-song.webnode.fr/rap-us/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/rap-us/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/rap-us/)
15:39:48	25475/25475	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2014:39:36%20GMT	https://spotify-top-song.webnode.fr/rap-us-playlist/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/rap-us-playlist/index.html	(from https://spotify-top-song.webnode.fr/rap-us/)
15:39:48	1/1	---M--	200	added ('OK')	text/plain	etag:%225fa4d002-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/njp4uhl.css)
15:40:01	29249/29249	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2014:39:45%20GMT	https://spotify-top-song.webnode.fr/hits-rap-us/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/hits-rap-us/index.html	(from https://spotify-top-song.webnode.fr/rap-us/)
15:40:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:40:01%20GMT	https://spotify-top-song.webnode.fr/rap-us-playlist/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/rap-us-playlist/wnd_header.92.delayed	(from https://spotify-top-song.webnode.fr/rap-us-playlist/)
15:40:04	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:40:02%20GMT	https://spotify-top-song.webnode.fr/rap-us-playlist/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/rap-us-playlist/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/rap-us-playlist/)
15:40:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:40:05%20GMT	https://spotify-top-song.webnode.fr/hits-rap-us/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/hits-rap-us/wnd_header.93.delayed	(from https://spotify-top-song.webnode.fr/hits-rap-us/)
15:40:08	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:40:07%20GMT	https://spotify-top-song.webnode.fr/hits-rap-us/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/hits-rap-us/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/hits-rap-us/)
